Step,x-coordinate,y-coordinate,Actions
1158,3,40,F
1159,4,40,LF
1160,4,41,RRF
1161,4,40,RF
1162,3,40,LF
1163,3,39,RRF
1164,3,40,LF
1165,2,40,F
1166,1,40,LF
1167,1,39,F
1168,1,38,LF
1169,2,38,LF
1170,2,39,RRF
1171,2,38,LF
1172,3,38,F
1173,4,38,F
1174,5,38,LF
1175,5,39,LF
1176,4,39,RRF
1177,5,39,LF
1178,5,40,F
1179,5,41,RRF
1180,5,40,F
1181,5,39,LF
1182,6,39,LF
1183,6,40,F
1184,6,41,RRF
1185,6,40,LF
1186,7,40,RF
1187,7,39,LF
1188,8,39,LF
1189,8,40,F
1190,8,41,LF
1191,7,41,RRF
1192,8,41,RF
1193,8,40,F
1194,8,39,RF
1195,7,39,LF
1196,7,38,RRF
1197,7,39,F
1198,7,40,LF
1199,6,40,LF
1200,6,39,RF
1201,5,39,LF
1202,5,38,LF
1203,6,38,RRF
1204,5,38,F
1205,4,38,LF
1206,4,37,LF
1207,5,37,RRF
1208,4,37,LF
1209,4,36,F
1210,4,35,RF
1211,3,35,LF
1212,3,34,LF
1213,4,34,F
1214,5,34,F
1215,6,34,LF
1216,6,35,LF
1217,5,35,RF
1218,5,36,RF
1219,6,36,F
1220,7,36,RRF
1221,6,36,F
1222,5,36,LF
1223,5,35,LF
1224,6,35,RF
1225,6,34,LF
1226,7,34,LF
1227,7,35,RRF
1228,7,34,LF
1229,8,34,LF
1230,8,35,RRF
1231,8,34,LF
1232,9,34,F
1233,10,34,RF
1234,10,33,F
1235,10,32,LF
1236,11,32,LF
1237,11,33,RF
1238,12,33,LF
1239,12,34,LF
1240,11,34,RRF
1241,12,34,LF
1242,12,35,F
1243,12,36,RF
1244,13,36,LF
1245,13,37,LF
1246,12,37,F
1247,11,37,LF
1248,11,36,F
1249,11,35,RRF
1250,11,36,LF
1251,10,36,F
1252,9,36,LF
1253,9,35,LF
1254,10,35,RRF
1255,9,35,RF
1256,9,36,LF
1257,8,36,RRF
1258,9,36,F
1259,10,36,F
1260,11,36,LF
1261,11,37,LF
1262,10,37,F
1263,9,37,F
1264,8,37,F
1265,7,37,F
1266,6,37,RRF
1267,7,37,F
1268,8,37,F
1269,9,37,F
1270,10,37,F
1271,11,37,F
1272,12,37,LF
1273,12,38,LF
1274,11,38,RRF
1275,12,38,F
1276,13,38,RRF
1277,12,38,LF
1278,12,37,LF
1279,13,37,F
1280,14,37,LF
1281,14,38,F
1282,14,39,RF
1283,15,39,LF
1284,15,40,RRF
1285,15,39,RF
1286,14,39,LF
1287,14,38,F
1288,14,37,F
1289,14,36,F
1290,14,35,LF
1291,15,35,LF
1292,15,36,RF
1293,16,36,RRF
1294,15,36,LF
1295,15,35,LF
1296,16,35,RF
1297,16,34,RRF
1298,16,35,LF
1299,15,35,F
1300,14,35,LF
1301,14,34,LF
1302,15,34,RF
1303,15,33,LF
1304,16,33,F
1305,17,33,RF
1306,17,32,F
1307,17,31,LF
1308,18,31,F
1309,19,31,LF
1310,19,32,LF
1311,18,32,RF
1312,18,33,F
1313,18,34,LF
1314,17,34,RF
1315,17,35,F
1316,17,36,F
1317,17,37,LF
1318,16,37,RRF
1319,17,37,RF
1320,17,36,LF
1321,18,36,F
1322,19,36,F
1323,20,36,RRF
1324,19,36,LF
1325,19,35,RF
1326,18,35,RRF
1327,19,35,LF
1328,19,36,LF
1329,18,36,F
1330,17,36,LF
1331,17,35,F
1332,17,34,LF
1333,18,34,RF
1334,18,33,F
1335,18,32,LF
1336,19,32,RF
1337,19,31,LF
1338,20,31,LF
1339,20,32,F
1340,20,33,F
1341,20,34,LF
1342,19,34,LF
1343,19,33,RRF
1344,19,34,RF
1345,20,34,LF
1346,20,35,RRF
1347,20,34,LF
1348,21,34,LF
1349,21,35,RF
1350,22,35,F
1351,23,35,LF
1352,23,36,LF
1353,22,36,F
1354,21,36,RF
1355,21,37,LF
1356,20,37,F
1357,19,37,RRF
1358,20,37,LF
1359,20,38,F
1360,20,39,LF
1361,19,39,LF
1362,19,38,RF
1363,18,38,LF
1364,18,37,RRF
1365,18,38,LF
1366,17,38,F
1367,16,38,F
1368,15,38,LF
1369,15,37,RRF
1370,15,38,RF
1371,16,38,F
1372,17,38,F
1373,18,38,F
1374,19,38,LF
1375,19,39,LF
1376,18,39,RRF
1377,19,39,LF
1378,19,40,LF
1379,18,40,RF
1380,18,41,LF
1381,17,41,LF
1382,17,40,F
1383,17,39,RF
1384,16,39,RRF
1385,17,39,LF
1386,17,40,F
1387,17,41,F
1388,17,42,RRF
1389,17,41,LF
1390,18,41,F
1391,19,41,F
1392,20,41,LF
1393,20,42,LF
1394,19,42,F
1395,18,42,RF
1396,18,43,LF
1397,17,43,RRF
1398,18,43,LF
1399,18,44,RRF
1400,18,43,F
1401,18,42,LF
1402,19,42,F
1403,20,42,F
1404,21,42,RRF
1405,20,42,LF
1406,20,41,LF
1407,21,41,F
1408,22,41,LF
1409,22,42,F
1410,22,43,F
1411,22,44,RRF
1412,22,43,LF
1413,23,43,LF
1414,23,44,F
1415,23,45,LF
1416,22,45,F
1417,21,45,LF
1418,21,44,F
1419,21,43,RF
1420,20,43,F
1421,19,43,RF
1422,19,44,RRF
1423,19,43,LF
1424,20,43,LF
1425,20,44,RRF
1426,20,43,LF
1427,21,43,LF
1428,21,44,F
1429,21,45,RF
1430,22,45,LF
1431,22,46,RF
1432,23,46,LF
1433,23,47,LF
1434,22,47,RRF
1435,23,47,LF
1436,23,48,F
1437,23,49,LF
1438,22,49,LF
1439,22,48,RF
1440,21,48,LF
1441,21,47,RF
1442,20,47,LF
1443,20,46,LF
1444,21,46,RRF
1445,20,46,LF
1446,20,45,RRF
1447,20,46,LF
1448,19,46,RF
1449,19,47,RRF
1450,19,46,LF
1451,20,46,LF
1452,20,47,F
1453,20,48,LF
1454,19,48,RF
1455,19,49,LF
1456,18,49,LF
1457,18,48,RF
1458,17,48,RF
1459,17,49,LF
1460,16,49,F
1461,15,49,LF
1462,15,48,F
1463,15,47,LF
1464,16,47,LF
1465,16,48,RRF
1466,16,47,RF
1467,15,47,F
1468,14,47,F
1469,13,47,LF
1470,13,46,LF
1471,14,46,RRF
1472,13,46,LF
1473,13,45,F
1474,13,44,LF
1475,14,44,LF
1476,14,45,RRF
1477,14,44,LF
1478,15,44,LF
1479,15,45,RF
1480,16,45,LF
1481,16,46,LF
1482,15,46,RRF
1483,16,46,F
1484,17,46,F
1485,18,46,LF
1486,18,47,LF
1487,17,47,RRF
1488,18,47,RF
1489,18,46,F
1490,18,45,LF
1491,19,45,RRF
1492,18,45,RF
1493,18,46,LF
1494,17,46,F
1495,16,46,LF
1496,16,45,LF
1497,17,45,RRF
1498,16,45,F
1499,15,45,LF
1500,15,44,LF
1501,16,44,F
1502,17,44,RRF
1503,16,44,F
1504,15,44,LF
1505,15,43,LF
1506,16,43,RF
1507,16,42,F
1508,16,41,F
1509,16,40,RRF
1510,16,41,LF
